score_answer1 (out of 10),score_answer2 (out of 10),average_score,semantic_similarity,keyword_coverage,length_appropriateness,structure_similarity,key_phrases,sequence_alignment,factual_accuracy,coherence
4.51,8.35,6.43,0.35,0.2,0.15,0.1,0.05,0.05,0.05,0.05
4.37,8.37,6.37,0.3,0.25,0.2,0.1,0.05,0.05,0.03,0.02
4.3,8.3,6.3,0.3,0.2,0.2,0.1,0.05,0.05,0.05,0.05
4.28,8.24,6.26,0.3,0.25,0.15,0.1,0.05,0.05,0.05,0.05
4.26,8.22,6.24,0.3,0.15,0.15,0.1,0.1,0.1,0.05,0.05
4.16,8.32,6.24,0.25,0.25,0.25,0.1,0.05,0.05,0.03,0.02
4.26,8.18,6.22,0.3,0.3,0.1,0.1,0.05,0.05,0.05,0.05
4.23,8.16,6.2,0.3,0.2,0.1,0.1,0.1,0.1,0.05,0.05
4.15,8.12,6.14,0.25,0.2,0.2,0.15,0.05,0.05,0.05,0.05
4.07,8.19,6.13,0.25,0.25,0.2,0.1,0.05,0.05,0.05,0.05
4.12,8.06,6.09,0.25,0.25,0.15,0.15,0.05,0.05,0.05,0.05
4.1,8.04,6.07,0.25,0.15,0.15,0.15,0.1,0.1,0.05,0.05
4.02,8.11,6.06,0.25,0.2,0.15,0.1,0.1,0.1,0.05,0.05
4.0,8.05,6.02,0.25,0.25,0.1,0.1,0.1,0.1,0.05,0.05
4.0,7.95,5.98,0.25,0.2,0.15,0.15,0.1,0.05,0.05,0.05
3.92,8.02,5.97,0.25,0.25,0.15,0.1,0.1,0.05,0.05,0.05
3.99,7.94,5.96,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05
3.81,8.06,5.94,0.2,0.2,0.2,0.1,0.1,0.1,0.05,0.05
3.86,7.93,5.9,0.2,0.2,0.15,0.15,0.1,0.1,0.05,0.05
3.86,7.93,5.9,0.2,0.2,0.15,0.15,0.1,0.1,0.05,0.05
3.79,7.9,5.85,0.2,0.2,0.2,0.15,0.1,0.05,0.05,0.05
3.63,7.92,5.78,0.2,0.15,0.15,0.1,0.1,0.1,0.1,0.1
3.74,7.82,5.78,0.2,0.15,0.15,0.15,0.15,0.1,0.05,0.05
3.65,7.73,5.69,0.2,0.2,0.15,0.15,0.15,0.05,0.05,0.05
3.47,7.74,5.6,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1
